"Age.group" "Age.label" "Province" "Year" "Obs" "Pop"
1 "[0-40)" 1 1985 0 83414
2 "[40-45)" 1 1985 1 8163
3 "[45-50)" 1 1985 0 7167
4 "[50-55)" 1 1985 1 7565
5 "[55-60)" 1 1985 7 6647
6 "[60-65)" 1 1985 2 5711
7 "[65-70)" 1 1985 7 4525
8 "[70-75)" 1 1985 4 4054
9 "[75-80)" 1 1985 1 3104
10 "[80-85)" 1 1985 3 1990
11 "[85,85+)" 1 1985 2 1193
1 "[0-40)" 2 1985 10 100051
2 "[40-45)" 2 1985 0 8611
3 "[45-50)" 2 1985 0 8948
4 "[50-55)" 2 1985 2 10431
5 "[55-60)" 2 1985 2 10454
6 "[60-65)" 2 1985 0 9250
7 "[65-70)" 2 1985 3 7280
8 "[70-75)" 2 1985 7 6753
9 "[75-80)" 2 1985 1 5155
10 "[80-85)" 2 1985 1 3423
11 "[85,85+)" 2 1985 0 1910
1 "[0-40)" 3 1985 5 371031
2 "[40-45)" 3 1985 17 33518
3 "[45-50)" 3 1985 12 33089
4 "[50-55)" 3 1985 20 34846
5 "[55-60)" 3 1985 17 34303
6 "[60-65)" 3 1985 16 31549
7 "[65-70)" 3 1985 17 24900
8 "[70-75)" 3 1985 15 21323
9 "[75-80)" 3 1985 10 16181
10 "[80-85)" 3 1985 8 10342
11 "[85,85+)" 3 1985 7 6168
1 "[0-40)" 4 1985 4 136661
2 "[40-45)" 4 1985 0 10387
3 "[45-50)" 4 1985 2 11181
4 "[50-55)" 4 1985 2 11949
5 "[55-60)" 4 1985 5 11645
6 "[60-65)" 4 1985 2 9686
7 "[65-70)" 4 1985 6 7854
8 "[70-75)" 4 1985 11 7457
9 "[75-80)" 4 1985 10 5901
10 "[80-85)" 4 1985 1 3440
11 "[85,85+)" 4 1985 1 2319
1 "[0-40)" 5 1985 1 45368
2 "[40-45)" 5 1985 1 4411
3 "[45-50)" 5 1985 0 4631
4 "[50-55)" 5 1985 2 5664
5 "[55-60)" 5 1985 0 5993
6 "[60-65)" 5 1985 4 6288
7 "[65-70)" 5 1985 1 4884
8 "[70-75)" 5 1985 3 4509
9 "[75-80)" 5 1985 0 3764
10 "[80-85)" 5 1985 3 2568
11 "[85,85+)" 5 1985 0 1645
1 "[0-40)" 6 1985 7 188817
2 "[40-45)" 6 1985 0 16060
3 "[45-50)" 6 1985 3 16725
4 "[50-55)" 6 1985 9 20831
5 "[55-60)" 6 1985 13 18953
